Tag,出现次数,中文描述
place_with_suburbs,1,带子库( W)
places_i_have_been,4,区域( I)
political_activist,2,政治活动家
political_district,116,政 区
political_ideology,21,政治意识形态
political_prisoner,4,政治犯
position_in_debate,2,位置( in debate)
product_ingredient,4,产品认证
productendorsement,1,产品认证
production_company,120,生产 公司
professional_field,41,专业
proficiency_domain,1,熟练程度( D)
project_management,7,项目管理
publishing_company,28,发布  公司
religious_practice,4,宗教实践
rocket_engine_fuel,1,火箭 发动机 燃料
rocket_launch_site,1,火箭 发射 场地
royal_house_member,2,皇室( 会员)
school_or_movement,41,学校( 或)
school_sports_team,55,学校 体育 团队
sex122638240128936,1,性别 122638240128936
sexual_orientation,6,性定向
shape_note_singing,55,形状( S)
silent_movie_stars,1,静默  电影  明星
snl_movie_spin_off,2,snl 电影 spin off
software_developer,66,软件  开发者
sports_personality,1,运动 个性
sports_team_gender,2,运动   团队  性别
sports_team_roster,2,运动( T)
state_of_emergency,3,状态( E)
statistical_region,2408,统计 区域
stimulus_requester,4,刺激  请求器
subject_of_protest,3,标的( O)
supranational_body,2,超国家体
symbolized_concept,8,符号概念( C)
system_of_nobility,19,系统( O)
telescope_platform,1,望远镜( P)
thenightthatsleeps,3,睡觉的夜晚
thoroughbredracing,43,彻底绘制
tonywardsinterests,1,利益关系
tourist_attraction,43,游客( T)
transport_operator,6,运算器( O)
transport_terminus,8,运算结束
travel_destination,967,旅行( 目的地)
tv_character_extra,6,tv 特征 extra
tv_program_creator,553,tv 程序创建器
type_of_disability,1,残疾类型( O)
type_of_exhibition,1,退出类型( O)
type_of_motivation,2,类型( M)
type_of_snl_sketch,1,类型( S)
u_s_congressperson,46,u s 国会人物
uk_listed_building,2,uk list 构建
urban_legend_basis,1,城市  legend  basis
us_founding_father,5,找到父亲( U)
us_senator_current,5,us 语句 当前
varunksood_hollard,2,瓦伦克苏德-霍拉德
veterinarymedicine,11,兽医
visual_art_support,2,视觉   艺术  支持
voting_stat_region,3,投票( stat 区域)
williamshakespeare,13,威廉・沙克斯皮亚
academic_discipline,1,学术-学科
academic_post_title,9,学术( P)
ad_network_vertical,12,ad 网络 垂直
administrative_area,1551,行政区域
animal_disease_host,5,动物   疾病  宿主
anime_manga_creator,1,anime manga 创建器
annotation_category,2,注释  类别
antique_time_period,6,古董 时间 期间
apocalyptic_beliefs,1,启示录( B)
architectural_style,19,建筑样式
art_period_movement,20,艺术 期间 移动
assassinated_person,16,暗杀( P)
associationfootball,18,连足球
autonomous_republic,1,自主公开
balakrishnapsubaiah,1,巴拉克里什纳普苏拜亚
basketball_position,8,篮球 位置
battlestargalactica,10,星际银河系
beer_country_region,95,啤酒 国家 地区
biological_organism,1,生物组织
body_of_water_extra,5,水边区域( O)
branches_of_science,1,科学分支( S)
burlesque_performer,4,卷轴( P)
bv_venture_investor,10,bv 冒险 投资人
camera_manufacturer,3,相机制造商( M)
character_portrayer,8,字符( P)
chicken_primary_use,1,母鸡( P)
chineseuniversities,2,中国大学
christmas_character,3,圣诞节( C)
cinemainspectortest,4,电影监督员
classic_movie_stars,1,经典电影  明星
coat_of_arms_bearer,34,图标( A)
cocktail_ingredient,8,鸡尾酒
collaboration_topic,4,协作 专题
collection_category,21,收藏类( C)
comedy_group_member,93,喜剧 团体 成员
comic_book_colorist,3,漫画   book colorist
comic_book_letterer,3,漫画   书本  字母
comic_book_penciler,10,漫画  book  penciler
comic_strip_creator,9,连环画( S)
commoning_nutrition,1,营养
computer_game_theme,2,计算机  游戏  主题
concert_performance,4,音乐会( P)
constituent_country,8,组成国家
creativemindsatwork,27,创意卫星工作
cryptid_alternative,2,密码( C)
dancingwiththestars,65,与众星共舞
dated_location_test,15,日期( I) 测试
death_causing_event,16,死亡( C)
defunct_sports_team,3,已停用( S)
dietary_restriction,4,饮食限制
domesticated_animal,7,驯化的动物
endorsing_newspaper,1,认可报纸( N)
engineering_project,1,工程 项目
environmental_issue,2,环境问题
exhibition_producer,9,展览 制作者
extended_university,115,扩展的大学
famous_modern_poets,1,著名  现代  诗人
fictional_character,32,虚构( C)
fictional_job_title,23,虚构 job 标题
fictional_substance,2,虚构 物质
file_format_creator,2,文件( F)
film_festival_event,21,电影 庆典 活动
film_festival_focus,13,电影 庆典 焦点
film_song_performer,10,电影( S)
football_team_extra,23,橄榄球  团队  外部
fraternity_sorority,4,友爱联盟
freebase_s_database,2,自由基数 s 数据库
goldenstatewarriors,2,金色国家战士
grecoromanmythology,2,葡萄球菌学
historicalcountries,10,历史国家
hornblower_universe,1,角吹风机  单向
insurance_companies,1,保险 公司
language_written_in,5,语言   写入  in
legislative_session,63,立法会议
local_currency_area,1,本地语 货币 地区
location_in_fiction,8,位置( in fiction)
losgatosrestaurants,2,灭火器
marriage_end_reason,2,婚姻结束  理由
marriage_union_type,4,婚姻  工会  类型
media_rights_holder,2,媒体   权利持有者
meeting_participant,3,会话( P)
metropolitan_county,6,大都会( C)
mission_destination,2,任务( D)
mobile_phone_region,3,移动 手机 区域
music_video_subject,5,音乐 视频 主题
mx_federal_district,1,mx 联邦 地区
mythological_figure,1,神话学 图
mythological_system,3,神话系统
nationalsportsteams,9,国家港口
nederlandsedichters,5,宁数
neolithicingredient,3,新石器
news_reported_event,15,新闻  已报告事件
newyorkfilmfestival,8,Newyork电影节
oecd_gid_db_country,2,oecd gid db 国家
olympic_torchbearer,1,奥运会( T)
opera_designer_role,1,歌剧设计器  角色
organization_member,494,组织( 成员)
organization_sector,155,组织部门
partitioning_method,1,分区方法( M)
patienthealthrecord,8,病人健康记录
political_appointer,56,政治指定符( A)
process_environment,2,进程  环境
project_participant,47,项目 参与者
quotation_addressee,2,引用地址( S)
radio_station_owner,30,电台 站台 所有者
rail_accident_cause,1,铁轨 事故 原因
real_world_location,1,真实世界( W)
recreational_sports,4,娱乐( S)
registry_or_country,1,登记( 或)
repositoriesinphila,2,寄生虫病
road_bicycling_race,1,路径 自行车 种族
rocket_manufacturer,3,火箭制造器
skateboarding_movie,1,滑板游戏  电影
snowboard_companies,1,滑雪板 公司
social_network_user,890,社会 网络 用户
softwareengineering,1,软件工程
special_performance,1,特殊性能( P)
sponsored_recipient,18,赞助者( R)
sports_award_winner,51,运动( A)
sports_championship,3,运动车牌
sports_league_draft,22,运动( L)
states_i_ve_been_to,31,状态 i ve been to
subject_of_festival,13,主题 庆典
tennis_player_extra,9,网球   玩家  外关
test122565175222537,1,试验122565175222537
theatrical_composer,103,戏剧 组合器
theatrical_lyricist,95,戏剧 语言学家
thing_of_many_names,4,名称( M)
tourists_attraction,1,游客( T)
transportation_mode,7,运输( M)
tribecafilmfestival,16,部落电影节
type_of_music_group,2,类型 音乐 组
type_of_performance,10,性能类型( O)
ubicaci_n_iniciador,1,立方体  n inocidor
uk_crown_dependency,3,uk crown 依赖性
uoa_technology_type,1,uoa 技术 类型
us_federal_district,1,us 联邦 地区
video_color_process,1,视频 color 进程
video_game_composer,1,视频  game  composer
academic_institution,68,学术机构
age_limited_activity,1,年龄( L)
aircraft_model_extra,1,飞机 型号 外部
airtrafficmanagement,24,空中交通管理
allthenominatedfilms,2,当时的胶片
american_idol_winner,1,美国   idol  winner
audio_recording_role,2,音频 录音 作用
australian_territory,2,澳洲语   领土
autonomous_community,1,自主社区
award_category_extra,3,授予 类别 外部
award_nominated_work,1980,获奖 提名 工作
bestbollywoodactress,1,最佳木工演员
branch_of_government,2,政务分支( O)
bridal_shop_services,1,婚礼  商店  服务
british_royal_family,2,英国语  royal  family
business_development,1,工商发展
businesseswithimpact,1,有影响的企业
bv_medical_condition,61,bv 医疗条件
character_occupation,139,字符 职业
chinese_ethnic_group,1,中国语   民族   组
classificationsearch,2,分类搜索
cn_autonomous_region,1,cn 自治地区
comedy_group_founder,4,喜剧  组  创始人
comic_book_character,13,漫画   book 特性
comic_book_publisher,8,漫画  书籍  publisher
computer_game_engine,2,计算机 游戏 引擎
computer_game_region,8,计算机  game  区域
congressional_caucus,6,国会( C)
congressional_member,1,国会成员
countries_in_fiction,1,国家( in)
diggpowerusercounter,1,diggpoweruser 计数器
disney_product_theme,5,dinney 产品 主题
divination_technique,1,占卜( T)
e26_physical_feature,1,e26  物理特征
earthquake_epicenter,42,地震
educationalshortfilm,2,教育短片
endowed_organization,556,赋予组织( O)
ethnicity_in_fiction,54,种族小写
extended_institution,3,扩展机构( I)
family_guy_reference,14,家族( G)
film_screening_venue,45,胶片 屏幕 风景
film_with_tall_ships,8,带   tall ships 的电影
flightoftheconchords,2,离合弦飞行
gas_station_services,1,气位服务( S)
geographical_feature,57,地理面积
goldenageofhollywood,16,金色的万合金树
grammatical_category,1,语法类
graphic_design_style,1,图形( D)
graphic_novel_writer,2,图形小写器( N)
hair_care_ingredient,2,发型  护理  依赖性
hud_foreclosure_area,973,屏蔽  取消赎回  区域
hybrid_parent_gender,2,混合  父母  性别
inauguration_speaker,35,启用语句( S)
injury_causing_event,2,伤害  导致事件
intellectualproperty,2,知识产权
internet_forum_topic,1,互联网 论坛 专题
internet_video_actor,28,互联网 视频 演员
internet_video_genre,71,互联网 视频 流派
jewish_studies_field,30,犹太语  研究  field
kamrunnaharislamickg,1,卡姆伦纳哈里斯拉米克
kp_metropolitan_city,2,kp  都会  城市
legislative_assembly,1,立法( 组装)
literaturabrasileira,6,升/ 升/ 升/ 升
mademoisellebleu2007,2,"2007年9月13日,日内瓦"
mailing_list_subject,1,邮件列表  主题
martial_art_category,1,武术  类
mathematical_concept,1,数学概念
medical_trial_design,1,医疗 审判 设计
metropolitan_borough,10,大都会( B)
metropolitan_transit,16,大都会  transit
mines122805490927831,2,地雷 122805490927831
mobile_phone_carrier,3,移动电话   载体
monstrous_attributes,2,异常属性( A)
music_video_director,64,音乐 视频 导演
my_comic_book_domain,2,my comic book 域名
my_federal_territory,1,我的联邦 领土
ncaa_basketball_team,22,ncaa 篮球 队
nfl_suspending_party,1,nfl 悬浮 party
nonprofit_leadership,1,非营利组织
notable_conservative,13,显著的保守
olympic_bidding_city,26,奥林匹克  投标  城市
orbital_relationship,6,轨道关系
organization_founder,744,组织创建者
periodical_publisher,38,期刊( P)
permaculture_element,2,永久养殖 元素
phr_wellness_tracker,2,phr wellness 跟踪器
political_philosophy,4,政治哲学
politicalconventions,58,政治公约
presidential_nominee,8,总统专制( N)
product_placed_brand,6,产品( P)
professional_athlete,1,专业( R)
programming_language,17,编程 语言
public_radio_network,1,公共 无线电 网络
radio_station_format,8,电台 站台 格式
rajdhaniexpressmovie,1,rajdhani 表达电影
ranked_list_compiler,4,排序( L) 编译器
regional_food_source,7,区域 食物 来源
regulatory_authority,1,规 则   权威
semantic_cartography,5,语义学   漫画
semantichistoryofart,3,长篇小说
significant_follower,19,符号( F)
smoke122631628616829,1,烟雾122631628616829
social_psychologists,1,社会心理学家
socialmediamarketing,5,社交媒体营销
special_collectivity,1,特殊( G)
special_municipality,2,特别城市
sports_league_season,51,运动 同事 季节
sports_team_location,688,运动   团队  位置
sr_political_analyst,1,政治分析
states_and_provences,50,状态( P)
thebigbangtheoryshow,1,大爆炸理论秀
trading_card_company,1,交易牌 公司
transit_service_area,33,中转 服务 区域
transit_service_type,4,中转 服务 类型
trypanophobic_person,3,切换恐惧( P)
uk_unitary_authority,26,uk  统一处理法 权威
unicornrainbowcheese,1,独角兽脑袋
vaudeville_performer,21,阴道ville performer
virus_classification,1,病毒分类
yacht_racing_country,6,游艇 竞速 国道
accommodation_feature,4,住处( F)
adapted_abbeys_in_use,1,已适应( A)
administrative_county,39,行政区
advertisingcharacters,16,广告人物
aircraft_manufacturer,9,飞机制造商
american_indian_group,4,美洲   印地语  组
anime_manga_character,5,anime manga 特征
anime_manga_franchise,1,anime manga  授权
apartmentsinjerusalem,2,家庭公寓
balloonflightpioneers,1,气球飞行器
base_equivalent_event,5,碱基  等效活动
borscht_belt_comedian,9,borscht belt 喜剧演员
branch_of_photography,1,图片分支( O)
business_cliche_genre,1,商业   cliche 流派
business_group_member,1,商业   组  成员
cathedrals_in_england,1,大教堂 in 英格兰
cinequestfilmfestival,2,焚烧膜活动
classification_system,2,分类 系统
clique_leading_member,5,联盟 领导 成员
comic_strip_character,4,连环画   字符
comic_strip_syndicate,1,连环画  strip  syndicate
common_sense_organism,4,常识  组织
computer_crime_victim,3,计算机 犯罪 受害人
computer_game_subject,67,计算机  游戏  主题
cyclone_affected_area,109,气旋 受影响区域
deified_roman_emperor,1,已变异的罗马语  emperor
district_municipality,2,县(市)
dog_breed_association,1,犬类( B)
favorite_sports_teams,3,最喜欢的   运动  团队
fgdc_location_keyword,8,fgdc 位置 关键词
film_casting_director,14,电影 广播 导演
film_festival_sponsor,4,电影 节日 赞助商
food_festival_subject,1,食物 庆典 主题
food_producing_region,57,产粮区域
football_team_manager,3,足球   团队  管理器
hall_of_fame_inductee,221,图标( F)
hibernianfootballclub,2,冬眠足球俱乐部
independentpublishing,1,独立出版
informationtechnology,3,信息技术
internet_video_series,2,互联网 视频 系列
internet_video_writer,2,互联网 视频 撰稿人
java_script_libraries,1,java script 图书馆
language_writing_type,1,语言 写入 类型
legislative_committee,4,立法委员会
location_intersection,1,位置( I)
medical_trial_sponsor,3,医疗   审判  赞助者
michellecarusocabrera,1,米切尔卡鲁萨布雷拉
music_video_character,7,音乐 视频 字符
music_video_performer,47,音乐 video performer
newyorkcitynewspapers,1,新奥尔良都市报
nonprofitorganization,3,非营利组织
object_used_as_weapon,1,对象 作为 武器
overseas_collectivity,1,海外   集体
personal_relationship,7,个人关系
petsupplyandaccessory,4,宠物供应和获得
pinball_machine_basis,31,弹球  机器  基础
practice_jurisdiction,1,管辖权
product_placing_media,15,产品( P)
professional_wrestler,3,专业
programming_languages,6,编程 语言
public_gmackenz_types,2,public gmackenz 类型
reality_tv_contestant,4,现实( T)
recurring_competition,22,经常性( C)
recurring_event_extra,1,重复活动( E)
secret_society_member,11,secret social 成员
shopping_center_owner,4,购买中心  拥有者
site_listing_category,6,站点( L)
solo_wrestler_or_team,3,独奏器  或团队
space_program_sponsor,3,空间  程序  发起人
sports_facility_extra,1,运动 设施 外部
sports_representative,2,运动( S)
standard_organization,1,标准组织
student_radio_station,1,学生 无线电 站
studios_and_companies,1,工作室 和 公司
territorial_authority,17,领土权限
theater_choreographer,2,剧院编舞器( C)
theater_designer_role,6,剧场( D)
tournament_competitor,48,锦标赛( C)
type_of_legal_subject,1,类型 法律 主题
ufo_sighting_location,28,视点 位置
uk_overseas_territory,7,uk overseas 领土
united_nations_agency,1,统一国家 机构
vermont_fresh_network,1,vermont 新网络
world_cup_participant,28,世界语   cup  参与者
abstract_moral_dispute,5,抽象( M)
appropriate_technology,1,适当技术
astronomical_discovery,2,天文发现
auction_event_services,1,拍卖  活动  服务
breakfast_cereal_theme,5,早餐   cereal 主题
candy_bar_manufacturer,1,糖果 bar 制造商
celebrity_spokesperson,6,名人名词
celestial_object_extra,5,天体 天体 外部
chartering_institution,1,租赁机构( I)
chivalric_order_member,131,骑士  命令  成员
choppedandscrewedmusic,2,被砍伤的音乐
clique_hub_personality,4,类型 hub 个性
commercial_real_estate,1,商业   实体
commoning_organization,1,共通组织
congressional_district,3,国会
country_musical_groups,11,国家 音乐 组
cryptid_classification,1,密码( C)
culturaencadenacombase,1,古都兰卡德纳基地
drmadhumohankomaragiri,6,德马杜莫汉科马拉吉里
electronicprogramguide,4,电子程序指南
engineering_discipline,3,工程学 学科
enniskillenbirdsurvey1,1,幼鸟调查1
equestrian_disciplines,3,马术 纪律
external_rating_source,1,外部( R)
factsofamericanhistory,2,美国历史事实
fictional_organization,13,虚构组织( O)
film_costumer_designer,46,胶片 计算器 设计器
film_story_contributor,671,胶片 故事 贡献者
football_team_canadian,4,足球 队 加拿大人
former_french_colonies,15,前法国语   殖民地
former_german_colonies,3,前殖民地( G)
german_political_party,3,德国 政治 政党
headphone_manufacturer,3,耳机 制造商
heraldry_granting_body,2,预告( G)
historic_bio-geography,5,历史的生物地理
ice_skating_activities,3,滑冰 活动
impersonated_celebrity,134,假名( C)
impersonated_ethnicity,2,冒充  种族
internet_video_creator,12,互联网 视频 创建者
knowledge_worker_trait,1,知识   工人  技能
lakesintheunitedstates,1,单位状态中的湖泊
meshuggahalbumtimeline,7,中线
millvalleyfilmfestival,12,米瓦利电影节
moby_output_descriptor,20,暴徒 输出 描述器
motorcycle_paint_color,1,摩托车( P)
multi_event_tournament,2,多活动( T)
nationalfootballleague,33,国家足协
offical_symbol_variety,1,常数( symbol variety)
personal_certification,1,个人认证
powerstructureresearch,1,动力结构研究
presidential_candidate,3,总统日期( C)
processor_manufacturer,14,处理器 制造商
proposed_project_focus,2,拟议  项目  焦点
radio_station_location,1,电台 站点 位置
recreational_drug_user,24,娱乐( D)
religious_organization,14,宗教组织
rfid_iso_standart_list,1,rfid iso standart list 列表
roleplaying_game_genre,8,角色扮演  game  流派
satellite_manufacturer,11,卫星制造器
scientologist_actors_2,19,科学家  演员  2
skateboarding_location,1,滑板设置( L)
star_system_body_extra,4,恒星 系统 体 体外
terrorist_organization,5,恐怖主义组织
thoroughbred_racehorse,2,纯种种族( R)
top_architectural_city,237,顶部结构 城市
tv_dubbing_performance,1,tv dubing 性能
ua_autonomous_republic,1,自动公开
uk_constituent_country,4,uk 组成 国家
uk_metropolitan_county,6,uk metropolitan 县
undergroundhumanthings,2,地下人类
unitary_authority_city,10,单体 权威 城市
united_states_colonies,2,联合州 殖民地
venture_funded_company,22,投资  供资  公司
administrative_division,1237,行政区划
artshumanitiesresources,5,艺术人力资源
athletics_championships,1,田径锦标赛
australian_organization,2,澳大利亚 组织
breakfast_cereal_flavor,3,早餐( cereal flood)
care_bears_tummy_symbol,1,照顾( B)
celebrity_impressionist,9,名人画家
census_designated_place,6,人口普查   指定位置
chemical_classification,3,化学   分类
chivalric_order_founder,4,骑士  命令  创建者
chivalric_order_officer,5,骑士  命令  官员
circus_performance_type,1,马戏团  性能  类型
construction_cost_items,3,构造 成本 项目
court_jurisdiction_area,29,法院 管辖权 区域
cryptid_survey_location,1,密码  调查  位置
double_act_straight_man,7,双人( A)
educational_institution,764,教育机构
electromagneticspectrum,1,电磁光谱
embroidery_service_type,4,刺绣  服务  类型
environmental_modelling,4,环境建模
es_autonomous_community,1,es 自主 社区
famous_corvette_drivers,2,著名   科尔维特  驱动程序
football_coach_position,2,足球 coach 位置
former_italian_colonies,3,前殖民地( T)
former_spanish_colonies,18,前西班牙语   殖民地
governments_that_debase,9,政府( T)
govt_jurisdiction_extra,53,政府 管辖权 外部
hall_of_fame_discipline,6,图标( F)
healthyeatingandfitness,1,健康饮食和适应性
hotel_grading_authority,1,旅馆  等级  授权
icd_9_cm_classification,67,icd 9 cm 分类
impersonated_individual,1,冒充  个人
impersonated_profession,1,冒充 职业
internet_video_director,1,互联网 视频 导演
knowledgebasepublishing,3,知识库出版
language_writing_system,5,语言  writing  system
languagesfordomainnames,275,语言域名
meaning_of_notable_word,3,意指 of notable word 语句
membership_organization,39,成员 组织
mexican_food_ingredient,5,墨西哥语   食物  营养
michiganlakesandstreams,3,michiganlakes和流线
microdata_type_category,1,微数据 类型 类别
mobile_operating_system,2,移动操作 系统
name_suffix_description,1,名称 后缀 描述
named_mythical_creature,1,名称( M)
nationalbridgeinventory,4,国家桥梁库存
ncbitaxonomytowikipedia,1,ncbitaxonomytowikipedia (正辛醇/水分配系数)
nix_software_derivation,1,nix 软件 开发
non_metropolitan_county,33,非都会  county
non_profit_organization,171,非营利组织
nuclear_reactor_coolant,4,核反应堆 冷却剂
organism_classification,33,有机体分类
orthomolecular_medicine,1,矫形 医学
pennsylvania_state_navy,4,宾西法尼亚  状态  导航
pet_disease_risk_factor,8,宠物 疾病  危险  因素
possible_cabinet_member,3,可能( cabinet) 成员
product_design_taxonomy,2,产品( D)
schoolanduniversity_com,1,学校与大学 com
science_and_development,11,科学 与发展
spirit_producing_region,7,创建 区域
swedishamericanbusiness,6,瑞典裔美国人
testbase124146351328435,1,试验基地 124146351328435
theatrical_orchestrator,12,戏剧家
thing_of_disputed_value,24,争议值( O)
typeface_classification,1,类型
uk_metropolitan_borough,8,uk  metropolitan  borough (中文(简体) ).
uk_statistical_location,118,uk 统计 位置
unitary_authority_plain,20,单体 权威  plain
victoria_s_secret_model,7,胜利 s 秘密 模型
womenauthorsinsffantasy,10,妇女作家
world_cup_participation,41,世界语   cup  参与
administrative_area_type,1,行政区域 类型
ancient_chemical_element,2,古化学元素
astronomical_observatory,4,天文观测站
audio_recording_location,2,音频记录  位置
base_equivalent_location,49,碱基  等值  位置
bisac_equivalent_subject,31,birac 等效 主题
cn_prefecture_level_city,8,cn 地区 级别 城市
computer_hardware_vendor,1,计算机   硬件  工具
coronationofgeorgevi1937,4,日冕日记1937年
electrical_service_scope,2,电源服务  镜片
embassies_and_consulates,29,使馆( A)
facts_from_the_community,2,事实  来自 社区
famous_university_alumni,6,著名的大学  alumni
film_distribution_medium,6,胶片 分发 中型
film_production_designer,68,胶片 制作 设计器
graphic_design_specialty,1,图形( D)
great_looking_nfl_player,2,大外观  nfl  player
high_performance_concern,1,高性能( C)
home_remodeling_services,2,家建模 服务
internet_video_character,3,互联网 视频 字符
internet_video_crew_role,8,互联网   video crew 作用
leed_registered_building,1,leed 注册 构建
longislandpingpongleague,1,长岛乒乓球协会
major_league_sports_team,1,主要 同事 体育 团队
metropolitan_area_anchor,11,大都会( A)
military_award_recipient,3,军事( A)
military_rank_in_fiction,3,军事( R)
my_least_favorite_things,5,我最爱的东西
national_football_league,36,国家( F)
organization_partnership,27,组织-伙伴关系
personal_film_appearance,1,个人  电影  出现
place_with_neighborhoods,189,与邻里关系( W)
private_military_company,1,私营 军事 公司
professional_sports_team,169,专业   体育  团队
secretarial_service_type,1,秘书  服务  类型
statistical_region_extra,58,统计 区域 外部
structure_damaging_event,1,结构( D)
sundancefilmfestival2011,1,2011年太阳电影节
surprisingly_tall_people,27,令人惊讶的 Tall people
theater_production_staff,1,剧场 制作 工作人员
top_level_domain_sponsor,13,顶级 域名 赞助商
type_of_infectious_agent,2,类型( I)
type_of_place_of_worship,5,类型( O)
type_of_software_exploit,1,类型 软件 开发
web_development_platform,2,网络  开发  平台
xfreebase133792473727765,2,xfreebase133792473727765 (英语).
athletics_discipline_type,1,田径 纪律 类型
bad_people_who_make_music,5,坏  人  谁  制作  音乐
bicycle_model_typical_use,3,自行车 模型 典型 使用
biological_classification,1,生物分类
bipolar_disorder_sufferer,43,双极体( D)
canadian_aboriginal_group,1,加拿大语  原始语  组
cancer_center_constituent,35,癌症( C)
capital_metropolitan_city,1,大写   大都会 城市
celestial_object_category,6,天体  类
colleges_and_universities,43,大学
computer_science_subfield,2,计算机 科学 子域
computer_user_group_focus,4,计算机 用户 组 焦点
conservation_project_lead,7,保护 项目 领导
craft_supplies_categories,2,手艺   服务  类别
crp_political_contributor,2,crp 政治 贡献者
environmental_issue_cause,3,环境问题 原因
financial_market_category,2,金融 市场 类别
governmental_jurisdiction,777,政府管辖权
honorary_degree_recipient,22,荣誉 度 接受者
ikariam_research_category,2,ikariam research 分类
internet_video_crewmember,1,互联网 视频 船员
law_enforcement_authority,5,执法
location_with_mains_power,3,位置( W)
mariopedoneaccordionmusic,1,马里奥佩德内科迪翁音乐
metropolitan_borough_city,7,大都会  borough  city
morally_disputed_activity,18,道德争议  活动
music_video_choreographer,2,音乐   视频  编舞
mythology_origin_location,2,神话 起源 位置
non_metropolitan_district,28,非大都会  区
olympic_event_competition,3,奥林匹克  活动  竞争
permaculture_element_need,1,永久栽培  要素  需要
presquetoutsurpresquerien,1,预览
retail_location_clientele,1,零售   位置  客户端
road_bicycle_racing_event,2,road 自行车 赛车 活动
southernmedicaluniversity,2,南医科大学
sports_championship_event,30,运动( C)
state_in_free_association,1,状态   in free assition
suffered_nasty_nfl_injury,1,遭受伤害( N)
surprisingly_short_people,9,令人惊讶的矮人
talent_agency_specialties,5,人才 机构 专业
type_of_fictional_setting,15,类型( O)
unit_of_population_number,2,单位 人口 数量
us_representative_current,7,us 代表 当前
us_state_governor_current,1,us 状态( G)
user_of_banned_substances,3,用户( O)
vice_presidential_nominee,4,副总统  空缺
web_host_operating_system,4,网络( H)
architecture_firm_partners,3,架构( w)
baseball_coaching_position,1,棒球   coaching  位置
camera_sensor_manufacturer,3,相机 传感器 制造商
carnegie_mellon_university,33,Carnegie mellon 大学
construction_services_type,2,构造 服务 类型
content_management_service,4,内容  管理  服务
cryptid_area_of_occurrence,54,密码( A)
data_recovery_service_type,2,数据 恢复 服务 类型
disputed_location_claimant,25,有争议的位置( C)
e63_beginning_of_existence,1,e63  开始  存在
empresasdetecnologaenmxico,2,墨西哥
engineering_service_sector,7,工程 服务 扇区
fictional_object_destroyer,1,虚构对象( O)
fictional_universe_creator,56,虚构 单向 生成器
financial_support_provider,3,财务   支持  提供者
first_achievement_category,13,第一个( A)
former_portuguese_colonies,8,前葡萄牙语   殖民地
former_soviet_union_states,7,前名  soviet union 状态
glenn_scott_davis_doctor_g,1,缩写 scott davis 博士 g
government_office_category,25,政府 办公室 类别
government_office_or_title,23,政府( O)
greatamericansongbookradio,94,伟大的美国之声
import_export_service_type,1,导入  导出  service type
international_organization,7,国际组织
internet_video_broadcaster,3,互联网 影音 广电机
major_league_baseball_team,1,主队 同事 篮球 小队
medical_market_opportunity,1,医疗 市场 机会
membership_of_dail_eireann,1,成员( dail eireann)
metropolitan_borough_plain,2,大都会  borough  plain
monstrous_works_of_fiction,1,可怕的  工作  虚构
mythical_creature_location,41,虚构  creature  位置
ncaa_basketball_tournament,30,ncaa 篮球 进球
newspaper_circulation_area,1489,报纸( C)
operating_system_developer,12,操作 系统开发者
person_impersonated_on_snl,58,人物( I)
pet_with_medical_condition,2,带   医疗 条件
religious_leadership_title,8,宗教 领袖 标题
report_issuing_institution,4,报表( I)
sail_training_organization,1,帆船 培训 组织
stimulus_request_community,7,刺激  请求  社区
tennis_tournament_champion,9,网球 锦标赛 锦标赛.
teslasciencedigitalarchive,1,三角科学数字化
thoroughbred_racehorse_sex,2,纯种马  性
type_of_paranormal_ability,2,类型( O)
uk_non_metropolitan_county,34,uk not metropolitan 县
academyofcountrymusicawards,16,乡村音乐奖
architectural_structure_use,1,结构( U)
audio_recording_contributor,1,音频 录音 贡献者
boating_supplies_categories,1,划船  服务  类别
breakfast_cereal_ingredient,6,早餐   真实  吸引
chemical_compound_extension,1,化学   复合  扩展
computer_game_engine_family,1,计算机 游戏 引擎 家庭
computer_manufacturer_brand,22,计算机 制造商 品牌
cricket_administrative_body,1,板球 行政单位
digital_camera_manufacturer,5,数码 相机 制造商
disaster_affected_structure,1,灾难( E)
european_capital_of_culture,1,欧洲  首都  文化
event_of_disputed_occurance,1,争议( O)
fictional_character_creator,349,虚构的( C)
fictional_organization_type,14,虚构 组织 类型
greatbooksofthewesternworld,60,西方世界的伟大书
house_committee_chairperson,3,居室 委员会 主席
lead_agency_or_organization,4,领导 机构 或 组织
legislative_committee_title,5,立法委员会 标题
markrobertdaveyphotographer,150,马克罗伯特达维摄影师
multimedia_performance_type,1,多媒体  性能  类型
news_reporting_organisation,46,新闻 报告 组织
olympic_athlete_affiliation,1,奥运 运动员 附属
olympic_medal_demonstration,3,奥林匹克 medal 演示
opera_production_staff_role,1,歌剧  制作  工作人员  角色
piratesofthewirralpeninsula,1,维拉尔佩宁苏拉的海盗
processed_with_review_queue,984,已处理( W)
programming_language_family,1,编程 语言 家庭
projected_coordinate_system,1,预测的( C)
raiders_hall_of_fame_member,1,突袭者  hall of fame member(成员)
sonjabenskinmesherpaintings,2,儿子贾本斯金姆斯 她的画
special_tv_performance_type,5,特殊 tv 性能 类型
starshapedcitadelsandcities,46,星座结构
tournament_event_competitor,15,锦标赛  活动  竞争者
transit_application_creator,1,transit application 创建器
